tournament,round,game_id,team,status,opponent,result,pf,pa,tossups,negs,bhrd,bpts,PPB,packet
ACF Nationals 2019,8,20190802,Oxford A,NA,Johns Hopkins,L,220,240,10,2,10,130,13,Illinois-A / Wright St
ACF Nationals 2019,8,20190803,Chicago B,NA,Rutgers,W,245,85,11,3,11,150,13.64,Illinois-A / Wright St
ACF Nationals 2019,8,20190803,Rutgers,NA,Chicago B,L,85,245,5,3,5,50,10,Illinois-A / Wright St
ACF Nationals 2019,8,20190804,Illinois B,D2,MIT A,L,85,235,6,5,6,50,8.33,Illinois-A / Wright St
ACF Nationals 2019,8,20190804,MIT A,UG,Illinois B,W,235,85,12,1,12,120,10,Illinois-A / Wright St
ACF Nationals 2019,8,20190805,Chicago A,NA,Minnesota B,W,395,85,14,1,14,260,18.57,Illinois-A / Wright St
ACF Nationals 2019,8,20190805,Minnesota B,D2,Chicago A,L,85,395,4,1,4,50,12.5,Illinois-A / Wright St
ACF Nationals 2019,8,20190806,Amherst,NA,Stanford B,W,370,15,14,2,14,240,17.14,Illinois-A / Wright St
ACF Nationals 2019,8,20190806,Stanford B,D2,Amherst,L,15,370,3,7,3,20,6.67,Illinois-A / Wright St
ACF Nationals 2019,8,20190807,Berkeley B,NA,Central Florida,W,300,135,11,0,11,190,17.27,Illinois-A / Wright St
ACF Nationals 2019,8,20190807,Central Florida,UG,Berkeley B,L,135,300,6,1,6,80,13.33,Illinois-A / Wright St
ACF Nationals 2019,8,20190808,Gettysburg,UG,North Carolina,L,145,280,7,3,7,90,12.86,Illinois-A / Wright St
ACF Nationals 2019,8,20190808,North Carolina,NA,Gettysburg,W,280,145,12,0,12,160,13.33,Illinois-A / Wright St
ACF Nationals 2019,8,20190809,McGill,NA,WUSTL,W,240,215,10,2,10,150,15,Illinois-A / Wright St
ACF Nationals 2019,8,20190809,WUSTL,NA,McGill,L,215,240,10,1,10,120,12,Illinois-A / Wright St
ACF Nationals 2019,8,20190810,Harvard B,D2,Minnesota A,L,125,260,7,3,7,70,10,Illinois-A / Wright St
ACF Nationals 2019,8,20190810,Minnesota A,NA,Harvard B,W,260,125,12,2,12,150,12.5,Illinois-A / Wright St
ACF Nationals 2019,8,20190811,Auburn,UG,Berkeley A,L,80,340,5,0,5,30,6,Illinois-A / Wright St
ACF Nationals 2019,8,20190811,Berkeley A,UG,Auburn,W,340,80,13,4,13,230,17.69,Illinois-A / Wright St
ACF Nationals 2019,8,20190812,Stanford A,NA,Texas,L,55,340,4,3,4,30,7.5,Illinois-A / Wright St
ACF Nationals 2019,8,20190812,Texas,NA,Stanford A,W,340,55,13,0,13,210,16.15,Illinois-A / Wright St
ACF Nationals 2019,8,20190813,NYU,UG,Virginia A,L,120,310,6,0,6,60,10,Illinois-A / Wright St
ACF Nationals 2019,8,20190813,Virginia A,NA,NYU,W,310,120,13,0,13,180,13.85,Illinois-A / Wright St
ACF Nationals 2019,8,20190814,Michigan A,UG,Yale A,L,135,350,7,1,7,70,10,Illinois-A / Wright St
ACF Nationals 2019,8,20190814,Yale A,NA,Michigan A,W,350,135,12,0,12,230,19.17,Illinois-A / Wright St
ACF Nationals 2019,8,20190815,Penn A,NA,UCLA,W,245,160,11,3,11,150,13.64,Illinois-A / Wright St
ACF Nationals 2019,8,20190815,UCLA,UG,Penn A,L,160,245,8,0,8,80,10,Illinois-A / Wright St
ACF Nationals 2019,8,20190816,Caltech A,D2,Harvard A,L,25,320,2,1,2,10,5,Illinois-A / Wright St
ACF Nationals 2019,8,20190816,Harvard A,UG,Caltech A,W,320,25,14,2,14,190,13.57,Illinois-A / Wright St
